1,Lab,burntbody_male,500_100_10,10_0_0,1,
2,Piccadilly,burntbody_male,-3249_-3559_10,80_0_0,1,
3,Piccadilly,burntbody_male,-2997_-3563_20,0_90_0,1,
4,Captive,burntbody_male,300_100_10,0_0_30,1,
5,Captive,burntbody_male,400_100_10,0_0_30,1,
6,Piccadilly,burntbody_male,-2650_-3570_30,0_90_0,1,
7,Piccadilly,burntbody_male,-2090_-1051_120,0_90_0,1,
8,Piccadilly,burntbody_male,-1593_2907_50,90_90_0,1,
9,Proxywar,burntbody_male,100_100_10,0_30_0,1,
10,Proxywar,burntbody_male,200_100_10,0_30_0,1,
11,safehouse,debris_override_deadbody_safehouse_female_01_cn,-1056.24_2660.66_-31.55,3.40891_87.777_-11.2439,1,
12,safehouse,debris_override_deadbody_safehouse_male_01_cn,-1047.23_2581.15_-24.3661,12.6176_176.377_2.61685,1,
13,safehouse,ee_construction_plywood_stacks_48height,-1334.647_2793.369_2.801,360.000_48.385_3.079,1,
14,safehouse,ee_construction_plywood_stacks_48height,-1299.329_2720.857_40.496,1.033_319.999_-178.768,1,
15,safehouse,ee_construction_plywood_stacks_48height,-1263.603_2756.889_44.997,355.109_137.185_178.818,1,
16,embassy,debris_override_me_sign_us_embassy_02_cn,-6315_-2300_176,0_180_90,1,
17,embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6872_-2172_154,0_90_0,1,
18,embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6526_-3007.5_104.5,0_180_0,1,
19,embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6041.5_-2692_129,0_270_0,1,
20.embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6048_-105.5_-498,0_180_0,1,
