2012000,camo_01a,0,0,0,0,
2012001,camo_01b,0,0,0,0,
2012002,camo_01c,0,0,0,0,
2012003,camo_01d,0,0,0,0,
2012004,camo_01e,0,0,0,0,
2012005,camo_01f,0,0,0,0,
2012006,camo_01g,0,0,0,0,
2012007,camo_01h,0,0,0,0,
2012008,camo_01i,0,0,0,0,
2012009,camo_01j,0,0,0,0,
2012010,camo_02a,0,0,0,0,
2012011,camo_02b,0,0,0,0,
2012012,camo_02c,0,0,0,0,
2012013,camo_02d,0,0,0,0,
2012014,camo_02e,0,0,0,0,
2012015,camo_02f,0,0,0,0,
2012016,camo_02g,0,0,0,0,
2012017,camo_02h,0,0,0,0,
2012018,camo_02i,0,0,0,0,
2012019,camo_02j,0,0,0,0,
2012020,camo_03a,0,0,0,0,
2012021,camo_03b,0,0,0,0,
2012022,camo_03c,0,0,0,0,
2012023,camo_03d,0,0,0,0,
2012024,camo_03e,0,0,0,0,
2012025,camo_03f,0,0,0,0,
2012026,camo_03g,0,0,0,0,
2012027,camo_03h,0,0,0,0,
2012028,camo_03i,0,0,0,0,
2012029,camo_03j,0,0,0,0,
2012030,camo_04a,0,0,0,0,
2012031,camo_04b,0,0,0,0,
2012032,camo_04c,0,0,0,0,
2012033,camo_04d,0,0,0,0,
2012034,camo_04e,0,0,0,0,
2012035,camo_04f,0,0,0,0,
2012036,camo_04g,0,0,0,0,
2012037,camo_04h,0,0,0,0,
2012038,camo_04i,0,0,0,0,
2012039,camo_04j,0,0,0,0,
2012040,camo_05a,0,0,0,0,
2012041,camo_05b,0,0,0,0,
2012042,camo_05c,0,0,0,0,
2012043,camo_05d,0,0,0,0,
2012044,camo_05e,0,0,0,0,
2012045,camo_05f,0,0,0,0,
2012046,camo_05g,0,0,0,0,
2012047,camo_05h,0,0,0,0,
2012048,camo_05i,0,0,0,0,
2012049,camo_05j,0,0,0,0,
2012050,camo_06a,0,0,0,0,
2012051,camo_06b,0,0,0,0,
2012052,camo_06c,0,0,0,0,
2012053,camo_06d,0,0,0,0,
2012054,camo_06e,0,0,0,0,
2012055,camo_06f,0,0,0,0,
2012056,camo_06g,0,0,0,0,
2012057,camo_06h,0,0,0,0,
2012058,camo_06i,0,0,0,0,
2012059,camo_06j,0,0,0,0,
2012060,camo_07a,0,0,0,0,
2012061,camo_07b,0,0,0,0,
2012062,camo_07c,0,0,0,0,
2012063,camo_07d,0,0,0,0,
2012064,camo_07e,0,0,0,0,
2012065,camo_07f,0,0,0,0,
2012066,camo_07g,0,0,0,0,
2012067,camo_07h,0,0,0,0,
2012068,camo_07i,0,0,0,0,
2012069,camo_07j,0,0,0,0,
2012070,camo_08a,0,0,0,0,
2012071,camo_08b,0,0,0,0,
2012072,camo_08c,0,0,0,0,
2012073,camo_08d,0,0,0,0,
2012074,camo_08e,0,0,0,0,
2012075,camo_08f,0,0,0,0,
2012076,camo_08g,0,0,0,0,
2012077,camo_08h,0,0,0,0,
2012078,camo_08i,0,0,0,0,
2012079,camo_08j,0,0,0,0,
2012080,camo_09a,0,0,0,0,
2012081,camo_09b,0,0,0,0,
2012082,camo_09c,0,0,0,0,
2012083,camo_09d,0,0,0,0,
2012084,camo_09e,0,0,0,0,
2012085,camo_09f,0,0,0,0,
2012086,camo_09g,0,0,0,0,
2012087,camo_09h,0,0,0,0,
2012088,camo_09i,0,0,0,0,
2012089,camo_09j,0,0,0,0,
2012090,camo_10a,0,0,0,0,
2012091,camo_10b,0,0,0,0,
2012092,camo_10c,0,0,0,0,
2012093,camo_10d,0,0,0,0,
2012094,camo_10e,0,0,0,0,
2012095,camo_10f,0,0,0,0,
2012096,camo_10g,0,0,0,0,
2012097,camo_10h,0,0,0,0,
2012098,camo_10i,0,0,0,0,
2012099,camo_10j,0,0,0,0,
