chance,point,90,#     % of non-clustered points that will be populated,,
chance,cluster,85,#     % of clusters that will be populated,,
chance,clusterSolo,75,#     % of clusters that will become invalid after spawning one item (with dependencies),,
chance,ammo,15,#5,#ammo by itself - most ammo should spawn with its gun,
chance,health,15,#25,,
chance,plunder,0,#10,,
chance,perkpoint,0,#TBD,,
chance,killstreak,2,#2,,
chance,lethal,15,#10,,
chance,tactical,15,#10,,
chance,weapon,35,#28,,
chance,token,0,#Should only appear in Loot Caches by design,,
chance,gear,3,#3,,
item,brloot_ammo_12g,5,#common,,
item,brloot_ammo_50cal,30,#common,,
item,brloot_ammo_762,40,#common,,
item,brloot_ammo_919,10,#common,,
item,brloot_ammo_rocket,15,#common,,
item,brloot_equip_gasmask,100,#rare,,
item,brloot_offhand_atmine,15,#common,,
item,brloot_offhand_claymore,15,#common,,
item,brloot_offhand_c4,15,#common,,
item,brloot_offhand_frag,15,#common,,
item,brloot_offhand_molotov,5,#common,,
item,brloot_offhand_semtex,15,#common,,
item,brloot_offhand_thermite,15,#common,,
item,brloot_offhand_throwingknife,5,#common,,
item,brloot_health_adrenaline,5,#common,,
item,brloot_offhand_concussion,15,#common,,
item,brloot_offhand_decoy,10,#common,,
item,brloot_offhand_flash,15,#common,,
item,brloot_offhand_gas,10,#common,,
item,brloot_offhand_heartbeatsensor,5,#common,,
item,brloot_offhand_smoke,15,#common,,
item,brloot_offhand_snapshot,10,#common,,
item,brloot_offhand_taccover,5,#rare,,
item,brloot_offhand_trophysystem,5,#rare,,
item,brloot_killstreak_recondrone,5,#rare,,
item,brloot_weapon_famas_epic,12,#epic,,
item,brloot_weapon_famas_lege,7,#legendary,,
item,brloot_weapon_m4_comm,12,#common,,
item,brloot_weapon_m4_unco,23,#uncommon,,
item,brloot_weapon_m4_rare,28,#rare,,
item,brloot_weapon_ak47_epic,12,#epic,,
item,brloot_weapon_ak47_lege,7,#legendary,,
item,brloot_weapon_kilo141_comm,12,#common,,
item,brloot_weapon_kilo141_unco,23,#uncommon,,
item,brloot_weapon_kilo141_rare,28,#rare,,
item,brloot_weapon_scarh_epic,12,#epic,,
item,brloot_weapon_scarh_lege,7,#legendary,,
item,brloot_weapon_mp7_comm,0,#common,,
item,brloot_weapon_mp7_unco,0,#uncommon,,
item,brloot_weapon_mp7_rare,0,#rare,,
item,brloot_weapon_mp5_epic,0,#epic,,
item,brloot_weapon_mp5_lege,0,#legendary,,
item,brloot_weapon_uzi_comm,0,#common,,
item,brloot_weapon_uzi_unco,0,#uncommon,,
item,brloot_weapon_uzi_rare,0,#rare,,
item,brloot_weapon_aug_epic,0,#epic,,
item,brloot_weapon_aug_lege,0,#legendary,,
item,brloot_weapon_m870_comm,0,#common,,
item,brloot_weapon_m870_unco,0,#uncommon,,
item,brloot_weapon_m870_rare,0,#rare,,
item,brloot_weapon_dp12_epic,0,#epic,,
item,brloot_weapon_dp12_lege,0,#legendary,,
item,brloot_weapon_origin12_epic,0,#epic,,
item,brloot_weapon_origin12_lege,0,#legendary,,
item,brloot_weapon_deagle_epic,12,#epic,,
item,brloot_weapon_deagle_lege,7,#legendary,,
item,brloot_weapon_m1911_comm,12,#common,,
item,brloot_weapon_m1911_unco,23,#uncommon,,
item,brloot_weapon_m1911_rare,28,#rare,,
item,brloot_weapon_dragunov_epic,12,#epic,,
item,brloot_weapon_dragunov_lege,7,#legendary,,
item,brloot_weapon_marlin_comm,12,#common,,
item,brloot_weapon_marlin_unco,23,#uncommon,,
item,brloot_weapon_marlin_rare,28,#rare,,
item,brloot_weapon_kar98_epic,12,#epic,,
item,brloot_weapon_kar98_lege,7,#legendary,,
item,brloot_weapon_pkm_comm,12,#common,,
item,brloot_weapon_pkm_unco,23,#uncommon,,
item,brloot_weapon_pkm_rare,28,#rare,,
item,brloot_weapon_mg34_epic,12,#epic,,
item,brloot_weapon_mg34_lege,7,#legendary,,
item,brloot_weapon_carlg_epic,12,#epic,,
item,brloot_weapon_rpg7_comm,12,#common,,
item,brloot_armor_plate,100,#common,,
item,brloot_plunder_cash_uncommon_1,40,#uncommon,,
item,brloot_plunder_cash_uncommon_2,30,#rare,,
item,brloot_plunder_cash_uncommon_3,20,#epic,,
item,brloot_plunder_extract,10,#legendary,,
item,brloot_respawn_token,100,#legendary,,
item,brloot_killstreak_uav,100,#legendary,,
